,nombre_reviwer,calificacion,tiempo,fecha_de_extraccion,fecha_del_comentario,hora,comentario,calidad_del_reviewer,id_local,pais,ciudad,sentimiento
199,Deisy Correa, 5 estrellas ,un año atrás,2021-05-02 22:04:26.409325,2020-05-02 22:04:26.409325,,"Excelente lugar para compartir en pareja, amigos o familia.",Local Guide ・13 opiniones,"@6.2471158,-75.6296551",,,
200,Jose Vicente Franco Lozano, 4 estrellas ,hace 3 meses,2021-05-02 22:04:26.409325,2021-02-02 22:04:26.409325,,Excelente las Costillas de Cerdo.,6 opiniones,"@6.2471158,-75.6296551",,,
201,Juan P Vargas, 5 estrellas ,hace un mes,2021-05-02 22:04:26.409325,2021-04-02 22:04:26.409325,,Excelente comida y excelente servicio,1 opinión,"@6.2471158,-75.6296551",,,
202,coçodrilo gerd, 3 estrellas ,hace 2 meses,2021-05-02 22:04:26.409325,2021-03-02 22:04:26.409325,,"Con sólo el nombre, me imaginé una maravilla de carnes y la verdad hay mejores.",28 opiniones,"@6.2471158,-75.6296551",,,
203,Jorge Esteban Pulgarin, 5 estrellas ,hace un mes,2021-05-02 22:04:26.409325,2021-04-02 22:04:26.409325,,Delicioso,Local Guide ・32 opiniones,"@6.2471158,-75.6296551",,,
204,julian ramirez, 5 estrellas ,un año atrás,2021-05-02 22:04:26.409325,2020-05-02 22:04:26.409325,,"Es un lugar de ensueño. La atención es magnífica, el ambiente es mágico y  encantador. Los meseros siempre atentos a brindar excelente servicio. La música en vivo te encantará. Lo mejor: comida cien por ciento Argentina de la más alta calidad .",Local Guide ・64 opiniones,"@6.2471158,-75.6296551",,,
205,Daniel Felipe Atehortua Agudelo, 5 estrellas ,2 años atrás,2021-05-02 22:04:26.409325,2019-05-02 22:04:26.409325,,"Un sitio muy hermoso, una gastronomía espectacular y una atención sin precedentes  todo un excelente servicio",Local Guide ・186 opiniones,"@6.2471158,-75.6296551",,,
206,Daniela Ospina Arango, 5 estrellas ,hace 2 meses,2021-05-02 22:04:26.409325,2021-03-02 22:04:26.409325,,Excelente comida y atención.,2 opiniones,"@6.2471158,-75.6296551",,,
207,juan antonio tirado lópez, 5 estrellas ,un año atrás,2021-05-02 22:04:26.409325,2020-05-02 22:04:26.409325,,"Muy rica al carne, tuve el placer de probar el rib este y estaba delicioso, y una gran porción de carne . La ensalada te ponías la que tú querías muy buena también. Es más caro de lo que hay normalmente por ahí pero merece la pena mucho el gasto. Esta bien atendido y buenísima carne.",Local Guide ・77 opiniones,"@6.2471158,-75.6296551",,,
208,Santiago Rondón G., 5 estrellas ,un año atrás,2021-05-02 22:04:26.409325,2020-05-02 22:04:26.409325,,"La comida es muy buena, bien servida y de buena cantidad en las porciones.
Las personas que trabajan allí siempre están atentas de los clientes y la música que ponen en vivo va muy acorde al lugar, lo recomiendo.",9 opiniones,"@6.2471158,-75.6296551",,,
209,Juan Esteban Gaviria Mazo, 5 estrellas ,hace 2 meses,2021-05-02 22:04:26.409325,2021-03-02 22:04:26.409325,,"Deliciosa la comida, totalmente recomendable",,"@6.2471158,-75.6296551",,,
210,felipe arango, 5 estrellas ,2 años atrás,2021-05-02 22:14:24.537587,2019-05-02 22:14:24.537587,,Muy buen ambiente y bien ubicado. Los cocteles son excelentes,1 opinión,"@6.2129467,-75.5905291",,,
211,cadali li, 1 estrella ,hace un mes,2021-05-02 22:14:24.537587,2021-04-02 22:14:24.537587,,"Pésima experiencia! En el sitio no comunican que solo se puede entrar con reserva, tampoco lo hacen en su publicidad. Si se llama a los números q aparecen, no contestan nunca. Me sacaron porque no tenía reserva ;( ....fui a conocer, no regreso. No recomendable si lo que quieres es buen servicio.",3 opiniones,"@6.2129467,-75.5905291",,,
212,Andrea T. Pérez, 5 estrellas ,hace 3 meses,2021-05-02 22:14:24.537587,2021-02-02 22:14:24.537587,,"Es un sitio social super agradable, con buenos tragos, comida y ambiente musical, también es un sitio bastante turístico donde puedes socializar con personas de diferentes países",7 opiniones,"@6.2129467,-75.5905291",,,
213,Sonthe Orologi, 5 estrellas ,hace 2 meses,2021-05-02 22:14:24.537587,2021-03-02 22:14:24.537587,,Buen lugar para tomar un drink tiene un jacuzzi muy agusto para relajarse en la noche...,Local Guide ・212 opiniones,"@6.2129467,-75.5905291",,,
214,Julián Cárdenas, 2 estrellas ,hace 5 meses,2021-05-02 22:14:24.537587,2020-12-02 22:14:24.537587,,"El ambiente, los espacios y la música genial. Lo único fue la mala atención de la chica de pelo corto, y su manera de  manipular los alimentos, pues los cogía con las manos sin guantes luego de de recibir dinero, tocarse la cara y otros objetos.",Local Guide ・28 opiniones,"@6.2129467,-75.5905291",,,
215,Melisa Zapata, 4 estrellas ,hace 3 meses,2021-05-02 22:14:24.537587,2021-02-02 22:14:24.537587,,El personal tiene muy buena atención y los productos son de buena calidad,4 opiniones,"@6.2129467,-75.5905291",,,
216,Jose Montoya, 5 estrellas ,3 semanas atrás,2021-05-02 22:14:24.537587,2021-04-11 22:14:24.537587,,"Buen lugar, buena bebida, buena atención",2 opiniones,"@6.2129467,-75.5905291",,,
217,Juan Camilo Varelas, 3 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,"El lugar en sí está bien, los Precios son moderados, comimos unas hamburguesas de muy buen sabor, pero la atención inicial NO fue buena, teníamos reserva para un cumpleaños y cuando llegamos nos quedamos parados esperando que alguien nos atendiera, o nos dijeran algo sobre la mesa, la persona que estaba a cargo, estaba ya tomado y ni un hola mencionó, por último nos dijeron que debíamos esperar, para organizar unas mesas y quitar unas pancartas.... Después de 20 minutos, nos dijeron que fuéramos al último piso para acomodarnos..... En el lugar estuvieron fumando mariguana y no les decían nada, incluso hasta una de las meseras lo estaba haciendo, entonces fue un momento no muy agradable al final, almenos para el que no le guste ese tipo de cosas...",Local Guide ・25 opiniones,"@6.2129467,-75.5905291",,,
218,luis munera, 1 estrella ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,"Mal servicio, y el crossover terrible! Esperaba encontrar un sitio cool de música electrónica.",3 opiniones,"@6.2129467,-75.5905291",,,
219,carlos alvarez, 3 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,"Esta bien, pero muy pequeño",Local Guide ・110 opiniones,"@6.2129467,-75.5905291",,,
220,Matthias Rüegger, 5 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,Muy buen hostal muybuen beer pong,1 opinión,"@6.2129467,-75.5905291",,,
221,Gabriel Jose Queipo Araque, 5 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,Excelente sitio para compartir entre amigos y disfrutar de unos buenos tragos en un buen jacuzzi,3 opiniones,"@6.2129467,-75.5905291",,,
222,Tobías Music, 5 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,Excelente lugar y servicio para compartir con amigos !!,4 opiniones,"@6.2129467,-75.5905291",,,
223,Dave Bolívar, 5 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,Excelente sitio,7 opiniones,"@6.2129467,-75.5905291",,,
224,Sebastian velasquez lopez, 3 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,Excelente ambiente y ubicación.,Local Guide ・88 opiniones,"@6.2129467,-75.5905291",,,
225,Catalina Sánchez B., 4 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,Lugar diferente,Local Guide ・67 opiniones,"@6.2129467,-75.5905291",,,
226,Brayan Estrada, 4 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,Si hubiera un mejor sonido estaría mejor,Local Guide ・91 opiniones,"@6.2129467,-75.5905291",,,
227,Underdog Factor, 5 estrellas ,3 semanas atrás,2021-05-02 22:14:24.537587,2021-04-11 22:14:24.537587,,"(Traducción de Google) Amo este lugar. Hermosa vista de la azotea, ubicación impresionante, incluso un pozo de bolas con red de carga en el que puede correr. Jacuzzi en la azotea. La botella no era demasiado cara. Amo este lugar.…",Local Guide ・55 opiniones,"@6.2129467,-75.5905291",,,
228,James Diamond, 5 estrellas ,hace 3 meses,2021-05-02 22:14:24.537587,2021-02-02 22:14:24.537587,,"(Traducción de Google) Tienen jacuzzi. Tenía 10 chicas, ni un solo chico.

(Original)
They have a jacuzzi.  Had 10 girls, not one dude.",Local Guide ・585 opiniones,"@6.2129467,-75.5905291",,,
229,Andres R, 5 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,"(Traducción de Google) Este bar es muy cómodo, el servicio es excelente con la gente, buena música y puedes reservar si quieres hacer una fiesta ... El precio es barato y tener un jacuzzi en la azotea 😁🍺

(Original)
This bar it's so…",Local Guide ・82 opiniones,"@6.2129467,-75.5905291",,,
230,Kevin Tewksbury, 5 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,"(Traducción de Google) ¡Guau, gran lugar!

(Original)
Wow great place !!",5 opiniones,"@6.2129467,-75.5905291",,,
231,Robert Umbenhaur, 5 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,"(Traducción de Google) ¡Gran lugar!

(Original)
Great place!",1 opinión,"@6.2129467,-75.5905291",,,
232,Joan Quiroz, 5 estrellas ,hace 2 meses,2021-05-02 22:14:24.537587,2021-03-02 22:14:24.537587,,,Local Guide ・3 opiniones,"@6.2129467,-75.5905291",,,
233,Alejandro Monsalve Ospina, 5 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,,1 opinión,"@6.2129467,-75.5905291",,,
234,Luis Fernando Martinez Echeverri, 5 estrellas ,hace 6 meses,2021-05-02 22:14:24.537587,2020-11-02 22:14:24.537587,,,4 opiniones,"@6.2129467,-75.5905291",,,
235,angela echeverry henao, 5 estrellas ,2 semanas atrás,2021-05-02 22:14:24.537587,2021-04-18 22:14:24.537587,,,5 opiniones,"@6.2129467,-75.5905291",,,
236,Juan José Patiño, 4 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,,2 opiniones,"@6.2129467,-75.5905291",,,
237,DIANA MARCELA GOMEZ LONDOÑO, 3 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,,Local Guide ・97 opiniones,"@6.2129467,-75.5905291",,,
238,carolina salazar londoño, 4 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,,2 opiniones,"@6.2129467,-75.5905291",,,
239,juan camilo ruiz pelaez, 5 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,,Local Guide ・28 opiniones,"@6.2129467,-75.5905291",,,
240,ESTEFANIA CARMONA CUARTAS, 5 estrellas ,hace 3 meses,2021-05-02 22:14:24.537587,2021-02-02 22:14:24.537587,,,Local Guide ・14 opiniones,"@6.2129467,-75.5905291",,,
241,eduardo angel, 5 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,,2 opiniones,"@6.2129467,-75.5905291",,,
242,Maria Gómez, 5 estrellas ,hace 8 meses,2021-05-02 22:14:24.537587,2020-09-02 22:14:24.537587,,,2 opiniones,"@6.2129467,-75.5905291",,,
243,estefa velez, 5 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,,Local Guide ・75 opiniones,"@6.2129467,-75.5905291",,,
244,Oswaldo Cardona, 4 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,,Local Guide ・51 opiniones,"@6.2129467,-75.5905291",,,
245,Manuel Vallejo Ospina, 5 estrellas ,hace 2 meses,2021-05-02 22:14:24.537587,2021-03-02 22:14:24.537587,,,1 opinión,"@6.2129467,-75.5905291",,,
246,Camilo Holguin Cano, 5 estrellas ,hace un mes,2021-05-02 22:14:24.537587,2021-04-02 22:14:24.537587,,,4 opiniones,"@6.2129467,-75.5905291",,,
247,Peter Cubillos Méndez, 5 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,,Local Guide ・20 opiniones,"@6.2129467,-75.5905291",,,
248,Katherine García, 5 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,,Local Guide ・179 opiniones,"@6.2129467,-75.5905291",,,
249,Sara Areiza Barrera, 5 estrellas ,hace 6 meses,2021-05-02 22:14:24.537587,2020-11-02 22:14:24.537587,,,2 opiniones,"@6.2129467,-75.5905291",,,
250,YANNYS Henriquez, 5 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,,Local Guide ・39 opiniones,"@6.2129467,-75.5905291",,,
251,Catherin Rivas, 5 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,,5 opiniones,"@6.2129467,-75.5905291",,,
252,Sergio Barrera, 4 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,,4 opiniones,"@6.2129467,-75.5905291",,,
253,Sol katherine Rodriguez Lerma, 5 estrellas ,hace un mes,2021-05-02 22:14:24.537587,2021-04-02 22:14:24.537587,,,2 opiniones,"@6.2129467,-75.5905291",,,
254,David Rivas C, 5 estrellas ,2 años atrás,2021-05-02 22:14:24.537587,2019-05-02 22:14:24.537587,,,Local Guide ・8 opiniones,"@6.2129467,-75.5905291",,,
255,Felipe Vélez, 3 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,,Local Guide ・20 opiniones,"@6.2129467,-75.5905291",,,
256,APROA SAS, 5 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,,,"@6.2129467,-75.5905291",,,
257,Jorge Alberto Zapata Gaviria, 5 estrellas ,hace 2 meses,2021-05-02 22:14:24.537587,2021-03-02 22:14:24.537587,,,,"@6.2129467,-75.5905291",,,
258,Luisa Guerrero, 5 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,,,"@6.2129467,-75.5905291",,,
259,camilo gutierrez, 5 estrellas ,hace 5 meses,2021-05-02 22:14:24.537587,2020-12-02 22:14:24.537587,,,,"@6.2129467,-75.5905291",,,
260,Chiel-Jan Guldentops, 3 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,,,"@6.2129467,-75.5905291",,,
261,Jimi Jenneskens, 5 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,,,"@6.2129467,-75.5905291",,,
262,Katherine Builes, 3 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,,,"@6.2129467,-75.5905291",,,
263,Yaqueline Higuita Durango, 5 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,,,"@6.2129467,-75.5905291",,,
264,Sara Lopez, 5 estrellas ,hace 8 meses,2021-05-02 22:14:24.537587,2020-09-02 22:14:24.537587,,,,"@6.2129467,-75.5905291",,,
265,Valentina Vargas Giraldo, 5 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,,,"@6.2129467,-75.5905291",,,
266,Tomazz Ochoa Sánchez, 5 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,,,"@6.2129467,-75.5905291",,,
267,Carlo Franco, 3 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,,,"@6.2129467,-75.5905291",,,
268,nataly ardila montoya, 5 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,,,"@6.2129467,-75.5905291",,,
269,María José Giraldo, 5 estrellas ,un año atrás,2021-05-02 22:14:24.537587,2020-05-02 22:14:24.537587,,,,"@6.2129467,-75.5905291",,,
270,CJ OA, 1 estrella ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,"Falta mejorar el servicio, la atención fue lenta, el mesero que nos atendió inicialmente no se mostró atento, muy básico en las respuestas a las preguntas que le realizamos. Había leído los comentarios realizados sobre el lugar y por ello nos decidimos a ir, pero quedamos decepcionados. La atención, el servicio es primordial.",19 opiniones,"@6.2093951,-75.5876859",,,
271,Rubén Darío Gonzalez González Díaz, 5 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,"Me encantó el bar, espectacular la música y la comida, realmente un sitio recomendable 100% y lo mejor, los clásicos del rock!",1 opinión,"@6.2093951,-75.5876859",,,
272,Andrea Toro, 5 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,"Este lugar me encanta,  en ocasiones hay musiva en vivo y cuando no, la música que suena es excelente! Verdadero lugar del Rock.  Su oferta gastronómica es práctica para acompañar las bebidas que tienen una buena variedad y sus precios son cómodos. La ubicación, la mejor!",Local Guide ・199 opiniones,"@6.2093951,-75.5876859",,,
273,Gabriel Gonzalo Mejia Marin, 5 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,"Es muy buen bar. El lugar tiene una atmósfera muy chévere, la música es excelente, el lugar como se ve, es muy bueno. Les recomiendo la atención, sobre todo de Kelly, es una chica muy agradable, su atención es la mejor.",Local Guide ・15 opiniones,"@6.2093951,-75.5876859",,,
274,Nestor Pirela, 4 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,Excelente ambiente y atención. Buena música y buenos precios. No mucha variedad en tragos y comidas,Local Guide ・28 opiniones,"@6.2093951,-75.5876859",,,
275,Juan Ricardo Pulido, 4 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,"Es un lugar tranquilo, pero rockero. Agradable para conversar, disfrutar de buenas bebidas y buena música. @MuyPerdido",Local Guide ・49 opiniones,"@6.2093951,-75.5876859",,,
276,juan fernando cardenas velasquez, 5 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,"El mejor bar de rock en Medellín
Atendido personalmente por los dueños
Excelente!!!!",4 opiniones,"@6.2093951,-75.5876859",,,
277,Arriety C, 5 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,"El sitio es acogedor, colocan música relajada, es un lugar para socializar y no colocan música a alto volúmen. Muy buen servicio y las meseras son atentas",Local Guide ・33 opiniones,"@6.2093951,-75.5876859",,,
278,Erika Cruz, 4 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,Buena música y tranquilo para hablar un rato.,Local Guide ・25 opiniones,"@6.2093951,-75.5876859",,,
279,Juan Pablo Ramírez, 4 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,"Buen ambiente, muy buena música. Faltan opciones de comida, ya que solo nos ofrecieron hamburguesa.",Local Guide ・6 opiniones,"@6.2093951,-75.5876859",,,
280,Valentin Viana lopez, 1 estrella ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,Muy sad el ambiente,5 opiniones,"@6.2093951,-75.5876859",,,
281,eliana mr, 5 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,"Un lugar muy ameno, buena música a volumen adecuado, buena comida, cerveza, me gustó demasiado, espero volver",Local Guide ・29 opiniones,"@6.2093951,-75.5876859",,,
282,Natalia Uribe, 5 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,"Excelente lugar !!!  Excelente atención,  el ambiente es el mejor, recomendado al 100%!! Fui por primera vez y quedo codificado para mi y mis amig@s.!!",3 opiniones,"@6.2093951,-75.5876859",,,
283,camilo corredor, 5 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,Excelente lugar para escuchar buen rock,Local Guide ・92 opiniones,"@6.2093951,-75.5876859",,,
284,AnaCapulla Full2DM, 5 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,Excelente sitio para compartir con el amor o los amigos.,Local Guide ・78 opiniones,"@6.2093951,-75.5876859",,,
285,Sergio londoño, 3 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,"Buen lugar ,la mejor música pero falta atención pocos para muchos .",Local Guide ・150 opiniones,"@6.2093951,-75.5876859",,,
286,Alvaro Baez, 5 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,"Este es un pequeño bar con un agradable ambiente que permite disfrutar unos cócteles bien servidos y buena música rock clásica.
Fuimos a celebrar el día del amor y la amistad y nos gustó el servicio que ofrecen.
Cuentan con sillones y mesas bajas muy cómodas. Aunque no contaban con la cerveza de mi preferencia, tienen una buena variedad de cócteles bien mezclados y bien servidos. (Visitamos otros bares alrededor y no nos gustaron sus cócteles)
El nivel de la música es agradable y permite tener una buena charla.
Ya habíamos cenado, así que no pedimos su pizza pero vimos que es una muy buena elección de pizza artesanal que definitivamente probaremos la siguiente visita pues este es un bar que valdrá la pena volver a visitar... Muy recomendado.",Local Guide ・140 opiniones,"@6.2093951,-75.5876859",,,
287,Carlos Granada, 5 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,Un buen lugar para beber un buen licor y comer pizza artesanal muy buena,Local Guide ・62 opiniones,"@6.2093951,-75.5876859",,,
288,Seres, 5 estrellas ,hace 6 meses,2021-05-02 22:15:13.455619,2020-11-02 22:15:13.455619,,Buena música pero cerró debido al COVID,Local Guide ・39 opiniones,"@6.2093951,-75.5876859",,,
289,Nataly Jimenez, 5 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,Un lugar tranquilo con buena música para disfrutar el tiempo con amigos.,Local Guide ・123 opiniones,"@6.2093951,-75.5876859",,,
290,Juan Marcos Solano Atehortua, 4 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,"Buena música y buen ambiente. La atención es buena, aunque podría mejorar.",Local Guide ・122 opiniones,"@6.2093951,-75.5876859",,,
291,Clara Durango, 5 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,Hace una pizza exquisita,25 opiniones,"@6.2093951,-75.5876859",,,
292,Monica Alejandra Cano Torres, 3 estrellas ,2 años atrás,2021-05-02 22:15:13.455619,2019-05-02 22:15:13.455619,,"El espacio es agradable, pero no te preguntan si quieres incluir el servicio. Te lo incluyen de una en la cuenta. Eso no me pareció justo, pues creo que con el precio que tiene la cerveza, y la poca amabilidad del servicio, ni siquiera lo debían incluir.",Local Guide ・37 opiniones,"@6.2093951,-75.5876859",,,
293,EGiraldoc C, 5 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,"Muy recomendado para ir a escuchar buenos temas de Rock acompañados de buenos tragos, a veces tienes buenos temas en vivo. Queda en una buena ubicación y el ambiente es más relajado que en otros bares, se puede hablar tranquilamente y hasta comer brownie con helado.",Local Guide ・115 opiniones,"@6.2093951,-75.5876859",,,
294,Andrés Eduardo Toro, 5 estrellas ,3 años atrás,2021-05-02 22:15:13.455619,2018-05-02 22:15:13.455619,,"Acogedor y cómodo. Excelente para conversar tranquilamente. Los Cafres Dios y calientes sin muy ricos. Cerveza Nacional e importada. Precios cómodos. Excelente ubicación, muy cerca al parque del poblado.",Local Guide ・35 opiniones,"@6.2093951,-75.5876859",,,
295,Jeiber Eduardo Mahecha Posso, 4 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,Un sitio calmado y ideal para charlar,Local Guide ・97 opiniones,"@6.2093951,-75.5876859",,,
296,Dumar Alexander Palacios Benavides, 5 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,Sitio con un muy buen ambiente y fantástico para ir con amigos o pareja,Local Guide ・46 opiniones,"@6.2093951,-75.5876859",,,
297,Tatiana Montoya, 4 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,"Es un lugar con un ambiente muy agradable, tranquilo, relajado, buena música tipo rock, no habían bebidas sin alcohol cuando fui pero si tintos y torticas.",Local Guide ・51 opiniones,"@6.2093951,-75.5876859",,,
298,David Alejandro Montaño Restrepo, 5 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,"Muy buen ambiente, buena música y buenos tragos, lo único que no me gustó es la comida, pero si es para pasar el rato con amigos está super bien.",Local Guide ・597 opiniones,"@6.2093951,-75.5876859",,,
299,Juan Carlos Sierra, 5 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,Excelente atención y mágico lugar para compartir,Local Guide ・25 opiniones,"@6.2093951,-75.5876859",,,
300,John Alexander Gonzalez, 5 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,Super deli... Buen rock,Local Guide ・47 opiniones,"@6.2093951,-75.5876859",,,
301,Ivan Cardenas, 5 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,"Excelente lugar y la música inigualable, desde 1990 fieles a su estilo.",Local Guide ・98 opiniones,"@6.2093951,-75.5876859",,,
302,Fabian Cano, 5 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,"Los COCKTAILS Dalí son brutales, hace rato no voy pero es uno de los sitios vieja guardia en Medellín que se conservan y caracterizan por su buena musica.",Local Guide ・86 opiniones,"@6.2093951,-75.5876859",,,
303,Natalia Ramírez, 5 estrellas ,2 años atrás,2021-05-02 22:15:13.455619,2019-05-02 22:15:13.455619,,Me encanta. No hay mucha variedad en el menú pero es suficiente para pasar un rato agradable en un lugar con una excelente ambientación.,Local Guide ・59 opiniones,"@6.2093951,-75.5876859",,,
304,Sheryl A, 4 estrellas ,2 años atrás,2021-05-02 22:15:13.455619,2019-05-02 22:15:13.455619,,"Lugar recomendado, es un bar/café tranquilo buena música, buen café, un sitio chévere para charlar con amigos o pareja.",Local Guide ・33 opiniones,"@6.2093951,-75.5876859",,,
305,Natalia Andrea Sánchez Acevedo, 4 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,El ambiente estuvo chevere.,14 opiniones,"@6.2093951,-75.5876859",,,
306,Jennifer Lopez Cano, 4 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,Es un sitio agradable para disfrutar del rock. Puede resultar costoso.,Local Guide ・119 opiniones,"@6.2093951,-75.5876859",,,
307,Juan Camilo Cañas Gómez, 4 estrellas ,2 años atrás,2021-05-02 22:15:13.455619,2019-05-02 22:15:13.455619,,Es un lugar muy agradable en el cual encontrarás el típico bar en el cual puedes conversar y escuchar buena música con tus amigos. Tienen una buena carta de licores y el ambiente es muy relajado y tranquilo,Local Guide ・65 opiniones,"@6.2093951,-75.5876859",,,
308,Igor El otro gemelo, 3 estrellas ,un año atrás,2021-05-02 22:15:13.455619,2020-05-02 22:15:13.455619,,Es un bar de rocksito y eso lo explica todo,Local Guide ・232 opiniones,"@6.2093951,-75.5876859",,,
309,Juan David Mejia Giraldo, 5 estrellas ,2 años atrás,2021-05-02 22:15:13.455619,2019-05-02 22:15:13.455619,,Buena musica. Buen ambiete para reunirse cerca del parque lleras y cerca del larque del poblado. Recomendado,Local Guide ・266 opiniones,"@6.2093951,-75.5876859",,,
